symbol,industry
360ONE,Financial Services
3MINDIA,Diversified
AADHARHFC,Financial Services
AARTIIND,Chemicals
AAVAS,Financial Services
ABB,Capital Goods
ABBOTINDIA,Healthcare
ABCAPITAL,Financial Services
ABDL,Fast Moving Consumer Goods
ABFRL,Consumer Services
ABLBL,Consumer Services
ABREL,Realty
ABSLAMC,Financial Services
ACC,Construction Materials
ACE,Capital Goods
ACMESOLAR,Power
ACUTAAS,Healthcare
ADANIENSOL,Power
ADANIENT,Metals & Mining
ADANIGREEN,Power
ADANIPORTS,Services
ADANIPOWER,Power
AEGISLOG,Oil Gas & Consumable Fuels
AEGISVOPAK,Oil Gas & Consumable Fuels
AFCONS,Construction
AFFLE,Information Technology
AIAENG,Capital Goods
AIIL,Financial Services
AJANTPHARM,Healthcare
ALKEM,Healthcare
AMBER,Consumer Durables
AMBUJACEM,Construction Materials
ANANDRATHI,Financial Services
ANANTRAJ,Realty
ANGELONE,Financial Services
ANTHEM,Healthcare
ANURAS,Chemicals
APARINDS,Capital Goods
APLAPOLLO,Capital Goods
APOLLOHOSP,Healthcare
APOLLOTYRE,Automobile and Auto Components
APTUS,Financial Services
ARE&M,Automobile and Auto Components
ASAHIINDIA,Automobile and Auto Components
ASHOKLEY,Capital Goods
ASIANPAINT,Consumer Durables
ASTERDM,Healthcare
ASTRAL,Capital Goods
ATGL,Oil Gas & Consumable Fuels
ATHERENERG,Automobile and Auto Components
ATUL,Chemicals
AUBANK,Financial Services
AUROPHARMA,Healthcare
AWL,Fast Moving Consumer Goods
AXISBANK,Financial Services
BAJAJ-AUTO,Automobile and Auto Components
BAJAJFINSV,Financial Services
BAJAJHFL,Financial Services
BAJAJHLDNG,Financial Services
BAJFINANCE,Financial Services
BALKRISIND,Automobile and Auto Components
BALRAMCHIN,Fast Moving Consumer Goods
BANDHANBNK,Financial Services
BANKBARODA,Financial Services
BANKINDIA,Financial Services
BATAINDIA,Consumer Durables
BAYERCROP,Chemicals
BBTC,Fast Moving Consumer Goods
BDL,Capital Goods
BEL,Capital Goods
BELRISE,Automobile and Auto Components
BEML,Capital Goods
BERGEPAINT,Consumer Durables
BHARATFORG,Automobile and Auto Components
BHARTIARTL,Telecommunication
BHARTIHEXA,Telecommunication
BHEL,Capital Goods
BIKAJI,Fast Moving Consumer Goods
BIOCON,Healthcare
BLS,Consumer Services
BLUEDART,Services
BLUEJET,Healthcare
BLUESTARCO,Consumer Durables
BOSCHLTD,Automobile and Auto Components
BPCL,Oil Gas & Consumable Fuels
BRIGADE,Realty
BRITANNIA,Fast Moving Consumer Goods
BSE,Financial Services
BSOFT,Information Technology
CAMS,Financial Services
CANBK,Financial Services
CANFINHOME,Financial Services
CANHLIFE,Financial Services
CAPLIPOINT,Healthcare
CARBORUNIV,Capital Goods
CARTRADE,Consumer Services
CASTROLIND,Oil Gas & Consumable Fuels
CCL,Fast Moving Consumer Goods
CDSL,Financial Services
CEATLTD,Automobile and Auto Components
CEMPRO,Construction
CENTRALBK,Financial Services
CESC,Power
CGCL,Financial Services
CGPOWER,Capital Goods
CHALET,Consumer Services
CHAMBLFERT,Chemicals
CHENNPETRO,Oil Gas & Consumable Fuels
CHOICEIN,Financial Services
CHOLAFIN,Financial Services
CHOLAHLDNG,Financial Services
CIEINDIA,Automobile and Auto Components
CIPLA,Healthcare
CLEAN,Chemicals
COALINDIA,Oil Gas & Consumable Fuels
COCHINSHIP,Capital Goods
COFORGE,Information Technology
COHANCE,Healthcare
COLPAL,Fast Moving Consumer Goods
CONCOR,Services
CONCORDBIO,Healthcare
COROMANDEL,Chemicals
CPPLUS,Capital Goods
CRAFTSMAN,Automobile and Auto Components
CREDITACC,Financial Services
CRISIL,Financial Services
CROMPTON,Consumer Durables
CUB,Financial Services
CUMMINSIND,Capital Goods
CYIENT,Information Technology
DABUR,Fast Moving Consumer Goods
DALBHARAT,Construction Materials
DATAPATTNS,Capital Goods
DCMSHRIRAM,Diversified
DEEPAKFERT,Chemicals
DEEPAKNTR,Chemicals
DELHIVERY,Services
DEVYANI,Consumer Services
DIVISLAB,Healthcare
DIXON,Consumer Durables
DLF,Realty
DMART,Consumer Services
DOMS,Fast Moving Consumer Goods
DRREDDY,Healthcare
ECLERX,Services
EICHERMOT,Automobile and Auto Components
EIDPARRY,Fast Moving Consumer Goods
EIHOTEL,Consumer Services
ELECON,Capital Goods
ELGIEQUIP,Capital Goods
EMAMILTD,Fast Moving Consumer Goods
EMCURE,Healthcare
EMMVEE,Capital Goods
ENDURANCE,Automobile and Auto Components
ENGINERSIN,Construction
ENRIN,Capital Goods
ERIS,Healthcare
ESCORTS,Capital Goods
ETERNAL,Consumer Services
EXIDEIND,Automobile and Auto Components
FACT,Chemicals
FEDERALBNK,Financial Services
FINCABLES,Capital Goods
FIRSTCRY,Consumer Services
FIVESTAR,Financial Services
