symbol,shares
360ONE,1.0
3MINDIA,1.0
AADHARHFC,1.0
AARTIIND,1.0
AAVAS,1.0
ABB,1.0
ABBOTINDIA,1.0
ABCAPITAL,1.0
ABDL,1.0
ABFRL,1.0
ABLBL,1.0
ABREL,1.0
ABSLAMC,1.0
ACC,1.0
ACE,1.0
ACMESOLAR,1.0
ACUTAAS,1.0
ADANIENSOL,1.0
ADANIENT,1.0
ADANIGREEN,1.0
ADANIPORTS,1.0
ADANIPOWER,1.0
AEGISLOG,1.0
AEGISVOPAK,1.0
AFCONS,1.0
AFFLE,1.0
AIAENG,1.0
AIIL,1.0
AJANTPHARM,1.0
ALKEM,1.0
AMBER,1.0
AMBUJACEM,1.0
ANANDRATHI,1.0
ANANTRAJ,1.0
ANGELONE,1.0
ANTHEM,1.0
ANURAS,1.0
APARINDS,1.0
APLAPOLLO,1.0
APOLLOHOSP,1.0
APOLLOTYRE,1.0
APTUS,1.0
ARE&M,1.0
ASAHIINDIA,1.0
ASHOKLEY,1.0
ASIANPAINT,1.0
ASTERDM,1.0
ASTRAL,1.0
ATGL,1.0
ATHERENERG,1.0
ATUL,1.0
AUBANK,1.0
AUROPHARMA,1.0
AWL,1.0
AXISBANK,1.0
BAJAJ-AUTO,1.0
BAJAJFINSV,1.0
BAJAJHFL,1.0
BAJAJHLDNG,1.0
BAJFINANCE,1.0
BALKRISIND,1.0
BALRAMCHIN,1.0
BANDHANBNK,1.0
BANKBARODA,1.0
BANKINDIA,1.0
BATAINDIA,1.0
BAYERCROP,1.0
BBTC,1.0
BDL,1.0
BEL,1.0
BELRISE,1.0
BEML,1.0
BERGEPAINT,1.0
BHARATFORG,1.0
BHARTIARTL,1.0
BHARTIHEXA,1.0
BHEL,1.0
BIKAJI,1.0
BIOCON,1.0
BLS,1.0
BLUEDART,1.0
BLUEJET,1.0
BLUESTARCO,1.0
BOSCHLTD,1.0
BPCL,1.0
BRIGADE,1.0
BRITANNIA,1.0
BSE,1.0
BSOFT,1.0
CAMS,1.0
CANBK,1.0
CANFINHOME,1.0
CANHLIFE,1.0
CAPLIPOINT,1.0
CARBORUNIV,1.0
CARTRADE,1.0
CASTROLIND,1.0
CCL,1.0
CDSL,1.0
CEATLTD,1.0
CEMPRO,1.0
CENTRALBK,1.0
CESC,1.0
CGCL,1.0
CGPOWER,1.0
CHALET,1.0
CHAMBLFERT,1.0
CHENNPETRO,1.0
CHOICEIN,1.0
CHOLAFIN,1.0
CHOLAHLDNG,1.0
CIEINDIA,1.0
CIPLA,1.0
CLEAN,1.0
COALINDIA,1.0
COCHINSHIP,1.0
COFORGE,1.0
COHANCE,1.0
COLPAL,1.0
CONCOR,1.0
CONCORDBIO,1.0
COROMANDEL,1.0
CPPLUS,1.0
CRAFTSMAN,1.0
CREDITACC,1.0
CRISIL,1.0
CROMPTON,1.0
CUB,1.0
CUMMINSIND,1.0
CYIENT,1.0
DABUR,1.0
DALBHARAT,1.0
DATAPATTNS,1.0
DCMSHRIRAM,1.0
DEEPAKFERT,1.0
DEEPAKNTR,1.0
DELHIVERY,1.0
DEVYANI,1.0
DIVISLAB,1.0
DIXON,1.0
DLF,1.0
DMART,1.0
DOMS,1.0
DRREDDY,1.0
ECLERX,1.0
EICHERMOT,1.0
EIDPARRY,1.0
EIHOTEL,1.0
ELECON,1.0
ELGIEQUIP,1.0
EMAMILTD,1.0
EMCURE,1.0
EMMVEE,1.0
ENDURANCE,1.0
ENGINERSIN,1.0
ENRIN,1.0
ERIS,1.0
ESCORTS,1.0
ETERNAL,1.0
EXIDEIND,1.0
FACT,1.0
FEDERALBNK,1.0
FINCABLES,1.0
FIRSTCRY,1.0
FIVESTAR,1.0
FLUOROCHEM,1.0
FORCEMOT,1.0
FORTIS,1.0
FSL,1.0
GABRIEL,1.0
GAIL,1.0
GALLANTT,1.0
GESHIP,1.0
GICRE,1.0
GILLETTE,1.0
GLAND,1.0
GLAXO,1.0
GLENMARK,1.0
GMDCLTD,1.0
GMRAIRPORT,1.0
GODFRYPHLP,1.0
GODIGIT,1.0
GODREJCP,1.0
GODREJIND,1.0
GODREJPROP,1.0
GPIL,1.0
GRANULES,1.0
GRAPHITE,1.0
GRASIM,1.0
GRAVITA,1.0
GROWW,1.0
GRSE,1.0
GVT&D,1.0
HAL,1.0
HAVELLS,1.0
HBLENGINE,1.0
HCLTECH,1.0
HDBFS,1.0
HDFCAMC,1.0
HDFCBANK,1.0
HDFCLIFE,1.0
HEROMOTOCO,1.0
HEXT,1.0
HINDALCO,1.0
HINDCOPPER,1.0
HINDPETRO,1.0
HINDUNILVR,1.0
HINDZINC,1.0
HOMEFIRST,1.0
HONASA,1.0
HONAUT,1.0
HSCL,1.0
HUDCO,1.0
HYUNDAI,1.0
ICICIAMC,1.0
ICICIBANK,1.0
ICICIGI,1.0
ICICIPRULI,1.0
IDBI,1.0
IDEA,1.0
IDFCFIRSTB,1.0
IEX,1.0
IFCI,1.0
IGIL,1.0
IGL,1.0
IIFL,1.0
IKS,1.0
INDGN,1.0
INDHOTEL,1.0
INDIACEM,1.0
INDIAMART,1.0
INDIANB,1.0
INDIGO,1.0
INDUSINDBK,1.0
INDUSTOWER,1.0
INFY,1.0
INOXWIND,1.0
INTELLECT,1.0
IOB,1.0
IOC,1.0
IPCALAB,1.0
IRB,1.0
IRCON,1.0
IRCTC,1.0
IREDA,1.0
IRFC,1.0
ITC,1.0
ITCHOTELS,1.0
ITI,1.0
J&KBANK,1.0
JAINREC,1.0
JBMA,1.0
JINDALSAW,1.0
JINDALSTEL,1.0
JIOFIN,1.0
JKCEMENT,1.0
JKTYRE,1.0
JMFINANCIL,1.0
JPPOWER,1.0
JSL,1.0
JSWCEMENT,1.0
JSWDULUX,1.0
JSWENERGY,1.0
JSWINFRA,1.0
JSWSTEEL,1.0
JUBLFOOD,1.0
JUBLINGREA,1.0
JUBLPHARMA,1.0
JWL,1.0
JYOTICNC,1.0
KAJARIACER,1.0
KALYANKJIL,1.0
KARURVYSYA,1.0
KAYNES,1.0
KEC,1.0
KEI,1.0
KFINTECH,1.0
KIMS,1.0
KIRLOSENG,1.0
KOTAKBANK,1.0
KPIL,1.0
KPITTECH,1.0
KPRMILL,1.0
LALPATHLAB,1.0
LATENTVIEW,1.0
LAURUSLABS,1.0
LEMONTREE,1.0
LENSKART,1.0
LGEINDIA,1.0
LICHSGFIN,1.0
LICI,1.0
LINDEINDIA,1.0
LLOYDSME,1.0
LODHA,1.0
LT,1.0
LTF,1.0
LTFOODS,1.0
LTM,1.0
LTTS,1.0
LUPIN,1.0
M&M,1.0
M&MFIN,1.0
MAHABANK,1.0
MANAPPURAM,1.0
MANKIND,1.0
MAPMYINDIA,1.0
MARICO,1.0
MARUTI,1.0
MAXHEALTH,1.0
MAZDOCK,1.0
MCX,1.0
MEDANTA,1.0
MEESHO,1.0
MFSL,1.0
MGL,1.0
MINDACORP,1.0
MMTC,1.0
MOTHERSON,1.0
MOTILALOFS,1.0
MPHASIS,1.0
MRF,1.0
MRPL,1.0
MSUMI,1.0
MUTHOOTFIN,1.0
NAM-INDIA,1.0
NATCOPHARM,1.0
NATIONALUM,1.0
NAUKRI,1.0
NAVA,1.0
NAVINFLUOR,1.0
NBCC,1.0
NCC,1.0
NESTLEIND,1.0
NETWEB,1.0
NEULANDLAB,1.0
NEWGEN,1.0
NH,1.0
NHPC,1.0
NIACL,1.0
NIVABUPA,1.0
NLCINDIA,1.0
NMDC,1.0
NSLNISP,1.0
NTPC,1.0
NTPCGREEN,1.0
NUVAMA,1.0
NUVOCO,1.0
NYKAA,1.0
OBEROIRLTY,1.0
OFSS,1.0
OIL,1.0
OLAELEC,1.0
OLECTRA,1.0
ONESOURCE,1.0
ONGC,1.0
PAGEIND,1.0
PARADEEP,1.0
PATANJALI,1.0
PAYTM,1.0
PCBL,1.0
PERSISTENT,1.0
PETRONET,1.0
PFC,1.0
PFIZER,1.0
PFOCUS,1.0
PGEL,1.0
PHOENIXLTD,1.0
PIDILITIND,1.0
PIIND,1.0
PINELABS,1.0
PIRAMALFIN,1.0
PNB,1.0
PNBHOUSING,1.0
POLICYBZR,1.0
POLYCAB,1.0
POLYMED,1.0
POONAWALLA,1.0
POWERGRID,1.0
POWERINDIA,1.0
PPLPHARMA,1.0
PREMIERENE,1.0
PRESTIGE,1.0
PTCIL,1.0
PVRINOX,1.0
PWL,1.0
RADICO,1.0
RAILTEL,1.0
RAINBOW,1.0
RAMCOCEM,1.0
RBLBANK,1.0
RECLTD,1.0
REDINGTON,1.0
RELIANCE,1.0
RHIM,1.0
RITES,1.0
RKFORGE,1.0
RPOWER,1.0
RRKABEL,1.0
RVNL,1.0
SAGILITY,1.0
SAIL,1.0
SAILIFE,1.0
SAMMAANCAP,1.0
SAPPHIRE,1.0
SARDAEN,1.0
SAREGAMA,1.0
SBFC,1.0
SBICARD,1.0
SBILIFE,1.0
SBIN,1.0
SCHAEFFLER,1.0
SCHNEIDER,1.0
SCI,1.0
SHREECEM,1.0
SHRIRAMFIN,1.0
SHYAMMETL,1.0
SIEMENS,1.0
SIGNATURE,1.0
SJVN,1.0
SOBHA,1.0
SOLARINDS,1.0
SONACOMS,1.0
SONATSOFTW,1.0
SPLPETRO,1.0
SRF,1.0
STARHEALTH,1.0
SUMICHEM,1.0
SUNDARMFIN,1.0
SUNPHARMA,1.0
SUNTV,1.0
SUPREMEIND,1.0
SUZLON,1.0
SWANCORP,1.0
SWIGGY,1.0
SYNGENE,1.0
SYRMA,1.0
TARIL,1.0
TATACAP,1.0
TATACHEM,1.0
TATACOMM,1.0
TATACONSUM,1.0
TATAELXSI,1.0
TATAINVEST,1.0
TATAPOWER,1.0
TATASTEEL,1.0
TATATECH,1.0
TBOTEK,1.0
TCS,1.0
TECHM,1.0
TECHNOE,1.0
TEGA,1.0
TEJASNET,1.0
TENNIND,1.0
THELEELA,1.0
THERMAX,1.0
TIINDIA,1.0
TIMKEN,1.0
TITAGARH,1.0
TITAN,1.0
TMCV,1.0
TMPV,1.0
TORNTPHARM,1.0
TORNTPOWER,1.0
TRAVELFOOD,1.0
TRENT,1.0
TRIDENT,1.0
TRITURBINE,1.0
TTML,1.0
TVSMOTOR,1.0
UBL,1.0
UCOBANK,1.0
ULTRACEMCO,1.0
UNIONBANK,1.0
UNITDSPR,1.0
UNOMINDA,1.0
UPL,1.0
URBANCO,1.0
USHAMART,1.0
UTIAMC,1.0
VBL,1.0
VEDL,1.0
VIJAYA,1.0
VMM,1.0
VOLTAS,1.0
VTL,1.0
WAAREEENER,1.0
WELCORP,1.0
WELSPUNLIV,1.0
WHIRLPOOL,1.0
WIPRO,1.0
WOCKPHARMA,1.0
YESBANK,1.0
ZEEL,1.0
ZENSARTECH,1.0
ZENTEC,1.0
ZFCVINDIA,1.0
ZYDUSLIFE,1.0
ZYDUSWELL,1.0
